,l1,MSE,Infty,max_std,expected_std,num_layer_gnn_past,num_layer_gnn_future,dropout,past_step,future_step,data,name
0,37.480988414602486,29356.32340276788,99691.205078125,6382.990159545027,73.97897335368111,2,1,0.1,30,50,2024-02-02 06:51:10,GCN_LSTMseq2seq
1,40.53845965813012,13921.66099995256,37073.0546875,2376.5903083564235,80.83436836105956,2,1,0.15,30,50,2024-02-02 06:51:14,GLSTMseq2seq
2,41.18424612978766,8350.744463887348,10190.280853271484,648.3624118861429,73.81137728849006,2,1,0.1,5,20,2024-02-09 11:12:14,GCN_LSTMseq2seq
3,41.23691600349768,20885.8510448229,68976.13671875,4364.906517423092,77.87061616087725,2,1,0.1,15,35,2024-02-13 13:27:45,GCN_LSTMseq2seq
4,42.620490750660565,44356.6175532652,99844.125,6292.767360080785,83.94542445099486,2,1,0.1,5,35,2024-02-10 12:35:02,GCN_LSTMseq2seq
5,43.504753588331205,11464.483538555894,12748.00390625,810.2938847662294,85.98939528852762,2,1,0.1,5,25,2024-02-09 18:12:55,GCN_LSTMseq2seq
6,43.90124653002369,12456.619339014376,10641.72285079956,959.0410868079284,82.4003097588521,2,1,0.1,15,30,2024-02-13 09:09:50,GCN_LSTMseq2seq
7,43.93735536795377,10674.703819683727,11633.953125,844.9430443502822,81.0996360342091,2,1,0.1,10,35,2024-02-12 17:24:38,GCN_LSTMseq2seq
8,44.45977911079891,11687.699923439972,18997.654296875,1773.1698400666503,83.01211420000358,2,1,0.1,5,30,2024-02-10 02:40:26,GCN_LSTMseq2seq
9,44.74848578477056,24101.972503166693,38586.078125,2412.880872564364,91.42358724343494,2,1,0.15,10,10,2024-02-10 21:49:27,GLSTMseq2seq
10,45.37823924207684,22305.229339663674,55611.7734375,5321.707360833876,84.3797698529699,2,1,0.1,15,25,2024-02-13 05:23:24,GCN_LSTMseq2seq
11,46.8152678452556,16167.675014268443,9734.273643493652,640.8418160602067,91.42562827178536,2,1,0.15,5,35,2024-02-10 12:35:03,GLSTMseq2seq
12,47.267890843455554,18319.143513082985,9808.02313232422,690.3932911432832,99.43351729936602,2,1,0.15,10,25,2024-02-11 19:37:25,GLSTMseq2seq
13,47.38881158599428,13827.234990984294,21744.76171875,1592.9588130325174,88.62770168781252,2,1,0.1,5,15,2024-02-09 05:38:28,GCN_LSTMseq2seq
14,47.74871717415521,16664.45480904057,9819.874145507812,673.2776535591836,94.23032131371416,2,1,0.15,10,35,2024-02-12 17:24:39,GLSTMseq2seq
15,47.99343177249961,16181.345608995418,10041.906494140623,644.8902531296909,90.23867243174963,2,1,0.15,5,20,2024-02-09 11:12:15,GLSTMseq2seq
16,48.32738238116109,53691.31088940804,119522.01953125,7652.588780729868,105.77270779151692,2,1,0.1,30,50,2024-02-02 06:51:12,GAT_LSTMseq2seq
17,49.201897280560594,19742.22174299661,9742.04656791687,649.7879803589149,103.6134211149897,2,1,0.15,5,25,2024-02-09 18:12:55,GLSTMseq2seq
18,49.478448688740265,18718.25889431366,10054.296875,724.0932130027378,98.30866349974664,2,1,0.15,5,30,2024-02-10 02:40:27,GLSTMseq2seq
19,50.82269327699907,18202.534069510824,9749.172981262209,612.944742146371,98.5415371725514,2,1,0.15,10,20,2024-02-11 10:56:52,GLSTMseq2seq
20,51.13544792906688,28809.15599707748,51594.8984375,3253.508798109495,106.96660583028644,2,1,0.15,10,30,2024-02-12 05:43:57,GLSTMseq2seq
21,51.57380019258674,17930.38314012354,9754.741790771484,625.6654738495432,100.82758527540278,2,1,0.1,5,20,2024-02-09 11:12:14,GAT_LSTMseq2seq
22,51.61188815864695,20799.334111520355,9112.630981445312,635.84758661547,105.12962543799172,2,1,0.15,10,15,2024-02-11 03:40:15,GLSTMseq2seq
23,51.83209585174363,47407.24236065271,62334.1015625,4948.276116329031,109.51926213492204,2,1,0.15,5,10,2024-02-09 01:13:01,GLSTMseq2seq
24,52.32414584982088,21534.32860232733,10147.47296142578,666.7354273832904,108.41326213114024,2,1,0.15,20,10,2024-02-08 04:24:33,GLSTMseq2seq
25,53.1486281109446,20668.31068107466,39090.5390625,2469.4490828647627,102.03123008304809,2,1,0.1,5,35,2024-02-10 12:35:02,GAT_LSTMseq2seq
26,53.23945760740353,17101.757677955728,23047.75,1714.1033425207386,99.76870741311998,2,1,0.1,10,20,2024-02-11 10:56:51,GCN_LSTMseq2seq
27,54.62908874747827,17072.898333264264,21443.93359375,1348.726676693622,100.72413108172088,2,1,0.1,10,15,2024-02-11 03:40:15,GCN_LSTMseq2seq
28,55.21376515367668,19928.84560300656,9943.369323730469,641.159721110221,109.93965194191205,2,1,0.1,10,25,2024-02-11 19:37:25,GAT_LSTMseq2seq
29,55.519029496021766,15069.088504938642,10272.660400390623,657.9547529260384,101.7619093830198,2,1,0.1,15,10,2024-02-12 21:00:48,GCN_LSTMseq2seq
30,55.64031897959808,21795.1150939868,34690.0546875,2189.038045244956,110.09602018233728,2,1,0.1,10,25,2024-02-11 19:37:24,GCN_LSTMseq2seq
31,55.65737260551404,80404.46894955968,91234.125,5746.959064227164,121.72156233577694,2,1,0.1,15,20,2024-02-13 02:06:18,GCN_LSTMseq2seq
32,56.299132834741336,69166.17571688653,75390.125,5737.913867106914,117.32376507305048,2,1,0.1,10,30,2024-02-12 05:43:57,GAT_LSTMseq2seq
33,56.57743630823527,21776.406514403174,10120.168518066406,1032.3833383811486,112.24229853518098,2,1,0.1,5,15,2024-02-09 05:38:29,GAT_LSTMseq2seq
