,name,score
0,model_7_4_0.05_64_1_64_False,7566.323402258726
1,model_7_4_0.05_64_1_64_True_True_64,7715.371034721528
2,model_7_4_0.05_64_1_64_True_True_128,7381.785455742253
3,model_7_4_0.05_64_1_64_True_True_256,7355.535830614255
4,model_7_4_0.05_64_1_64_True_False_64,7693.268957652019
5,model_7_4_0.05_64_1_64_True_False_128,7492.274179224591
6,model_7_4_0.05_64_1_64_True_False_256,7721.414075123559
7,model_7_4_0.05_64_1_128_False,7501.29077593335
8,model_7_4_0.05_64_1_128_True_True_64,7334.49775712598
9,model_7_4_0.05_64_1_128_True_True_128,7578.625473793401
10,model_7_4_0.05_64_1_128_True_True_256,7066.229749902859
11,model_7_4_0.05_64_1_128_True_False_64,7915.111999368747
12,model_7_4_0.05_64_1_128_True_False_128,7833.699646777254
13,model_7_4_0.05_64_1_128_True_False_256,7722.144301173918
14,model_7_4_0.05_64_1_256_False,7707.946167887784
15,model_7_4_0.05_64_1_256_True_True_64,7622.914552821974
16,model_7_4_0.05_64_1_256_True_True_128,7550.638421331554
17,model_7_4_0.05_64_1_256_True_True_256,6869.992965533718
18,model_7_4_0.05_64_1_256_True_False_64,8618.56801757463
19,model_7_4_0.05_64_1_256_True_False_128,7362.508891749511
20,model_7_4_0.05_64_1_256_True_False_256,7567.5772416220125
21,model_7_4_0.05_64_2_64_False,7711.873904395857
22,model_7_4_0.05_64_2_64_True_True_64,7356.533357294573
23,model_7_4_0.05_64_2_64_True_True_128,7457.93260780195
24,model_7_4_0.05_64_2_64_True_True_256,7153.340548420611
25,model_7_4_0.05_64_2_64_True_False_64,7275.464262770152
26,model_7_4_0.05_64_2_64_True_False_128,7393.7920177155775
27,model_7_4_0.05_64_2_64_True_False_256,6998.85275086365
28,model_7_4_0.05_64_2_128_False,7842.281166286386
29,model_7_4_0.05_64_2_128_True_True_64,8250.163409894081
30,model_7_4_0.05_64_2_128_True_True_128,8083.233594809899
31,model_7_4_0.05_64_2_128_True_True_256,7751.958990304975
32,model_7_4_0.05_64_2_128_True_False_64,8150.209210200857
33,model_7_4_0.05_64_2_128_True_False_128,7561.0212235752115
34,model_7_4_0.05_64_2_128_True_False_256,7296.798388027968
35,model_7_4_0.05_64_2_256_False,7260.765336200885
36,model_7_4_0.05_64_2_256_True_True_64,7411.771519590313
37,model_7_4_0.05_64_2_256_True_True_128,7536.040270751394
38,model_7_4_0.05_64_2_256_True_True_256,7313.380239622085
39,model_7_4_0.05_64_2_256_True_False_64,8581.664863987851
40,model_7_4_0.05_64_2_256_True_False_128,8108.7718622350385
41,model_7_4_0.05_64_2_256_True_False_256,7279.993680906056
